Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
EB,EB250919C00002500,Call,2025-09-19,2.5,0.2,0.3,6.0,1133,0.79687703125,2.74,2.66,2.82,1.096
EB,EB250919C00005000,Call,2025-09-19,5.0,0.0,0.55,2.0,6,3.8906252734375,2.74,2.66,2.82,0.548
EB,EB250919P00002500,Put,2025-09-19,2.5,0.0,0.15,80.0,94,0.8906260937499999,2.74,2.66,2.82,0.9124087591240875
EB,EB250919P00005000,Put,2025-09-19,5.0,2.2,2.35,8.0,3,1.8125009374999999,2.74,2.66,2.82,1.824817518248175
EB,EB251017C00002500,Call,2025-10-17,2.5,0.25,0.35,6.0,3006,0.6015664843750002,2.74,2.66,2.82,1.096
EB,EB251017C00005000,Call,2025-10-17,5.0,0.0,0.2,7.0,193,1.5078149609375,2.74,2.66,2.82,0.548
EB,EB251017P00002500,Put,2025-10-17,2.5,0.0,0.25,4.0,33,0.6523472265625001,2.74,2.66,2.82,0.9124087591240875
EB,EB251017P00005000,Put,2025-10-17,5.0,0.0,0.0,5.0,1,1.0000000000000003e-05,2.74,2.66,2.82,1.824817518248175
EB,EB251219C00002500,Call,2025-12-19,2.5,0.35,0.5,2.0,2265,0.523442265625,2.74,2.66,2.82,1.096
EB,EB251219C00005000,Call,2025-12-19,5.0,0.0,0.25,50.0,851,1.0039112304687499,2.74,2.66,2.82,0.548
EB,EB251219C00007500,Call,2025-12-19,7.5,0.0,0.25,1.0,6,1.3828155859374998,2.74,2.66,2.82,0.36533333333333334
EB,EB251219P00002500,Put,2025-12-19,2.5,0.1,0.25,10.0,10425,0.5039112109375,2.74,2.66,2.82,0.9124087591240875
EB,EB251219P00005000,Put,2025-12-19,5.0,2.2,2.4,,1,0.7421900781249999,2.74,2.66,2.82,1.824817518248175
EB,EB260116C00002500,Call,2026-01-16,2.5,0.35,0.55,10.0,148,0.507817421875,2.74,2.66,2.82,1.096
EB,EB260116C00005000,Call,2026-01-16,5.0,0.0,0.05,1.0,195,0.5937540625000001,2.74,2.66,2.82,0.548
EB,EB260116P00002500,Put,2026-01-16,2.5,0.1,0.25,2.0,29,0.5742230078125,2.74,2.66,2.82,0.9124087591240875
EB,EB260116P00005000,Put,2026-01-16,5.0,0.0,0.0,,0,1.0000000000000003e-05,2.74,2.66,2.82,1.824817518248175
EB,EB260417C00002500,Call,2026-04-17,2.5,0.5,0.65,250.0,106,0.5507857421875001,2.74,2.66,2.82,1.096
EB,EB260417C00005000,Call,2026-04-17,5.0,0.0,0.1,,10,0.5312546875,2.74,2.66,2.82,0.548
EB,EB260417P00002500,Put,2026-04-17,2.5,0.2,0.35,1.0,3,0.570316796875,2.74,2.66,2.82,0.9124087591240875
EB,EB260417P00005000,Put,2026-04-17,5.0,2.2,2.35,,4,0.6210975390625001,2.74,2.66,2.82,1.824817518248175
